iter	Passed	Remaining
0	1	182
1	3	148
2	4	135
3	5	127
4	6	129
5	8	131
6	9	130
7	11	129
8	12	126
9	13	124
10	15	123
11	16	121
12	17	120
13	18	116
14	20	114
15	21	112
16	22	111
17	23	109
18	25	107
19	26	105
20	27	103
21	28	101
22	29	99
23	30	96
24	31	94
25	32	92
26	33	89
27	34	87
28	35	85
29	35	83
30	36	81
31	37	79
32	38	77
33	39	76
34	40	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	68
40	46	66
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	41
62	68	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	74	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	96	8
92	98	7
93	99	6
94	99	5
95	101	4
96	101	3
97	102	2
98	103	1
99	104	0
